,TaxID,Level,PlotName,variable,value,Symbol
327,OTU_7,OTU,OTU7 Prevotella sp.,"YBS
Days 21 to 49
(healthy)",0.9636218026,
328,OTU_72,OTU,OTU72 Parolsenella catena,"YBS
Days 21 to 49
(healthy)",0.2011330262,
329,OTU_73,OTU,OTU73 Bifidobacterium tissierii,"YBS
Days 21 to 49
(healthy)",0.7933878861,
330,P1,Phylum,Actinobacteria,"YBS
Days 21 to 49
(pathology)",0.300952194,
331,P2,Phylum,Bacteroidetes,"YBS
Days 21 to 49
(pathology)",-0.2838225545,
332,P5,Phylum,Firmicutes,"YBS
Days 21 to 49
(pathology)",-0.378286846,
333,P6,Phylum,Fusobacteria,"YBS
Days 21 to 49
(pathology)",0.0086504087,
334,P7,Phylum,Proteobacteria,"YBS
Days 21 to 49
(pathology)",1.0589837751,
335,P8,Phylum,Tenericutes,"YBS
Days 21 to 49
(pathology)",4.4568185849,
336,F1,Family,Acidaminococcaceae,"YBS
Days 21 to 49
(pathology)",0.8366242847,
337,F16,Family,Coriobacteriaceae,"YBS
Days 21 to 49
(pathology)",-0.6100953274,
338,F18,Family,Enterobacteriaceae,"YBS
Days 21 to 49
(pathology)",0.1050108093,
339,F23,Family,Lachnospiraceae,"YBS
Days 21 to 49
(pathology)",0.2129570668,
340,F32,Family,Porphyromonadaceae,"YBS
Days 21 to 49
(pathology)",1.7202786666,
341,F33,Family,Prevotellaceae,"YBS
Days 21 to 49
(pathology)",-1.1734902012,
342,F39,Family,Sutterellaceae,"YBS
Days 21 to 49
(pathology)",2.7109154326,
343,F40,Family,Veillonellaceae,"YBS
Days 21 to 49
(pathology)",-1.1141590646,
344,F5,Family,Anaeroplasmataceae,"YBS
Days 21 to 49
(pathology)",4.4554197274,
345,F9,Family,Bifidobacteriaceae,"YBS
Days 21 to 49
(pathology)",0.6057398906,
346,G13,Genus,Bifidobacterium,"YBS
Days 21 to 49
(pathology)",0.6099079634,
347,G44,Genus,Megasphaera,"YBS
Days 21 to 49
(pathology)",-1.425983338,+
348,G54,Genus,Phascolarctobacterium,"YBS
Days 21 to 49
(pathology)",0.5977552841,
349,G66,Genus,Succinatimonas,"YBS
Days 21 to 49
(pathology)",0,
350,G67,Genus,Sutterella,"YBS
Days 21 to 49
(pathology)",2.7075675332,
351,G8,Genus,Asteroleplasma,"YBS
Days 21 to 49
(pathology)",4.4550981745,
352,OTU_129,OTU,OTU129 Bifidobacterium hapali,"YBS
Days 21 to 49
(pathology)",1.3980352156,
353,OTU_13,OTU,OTU13 Lachnospiraceae sp.,"YBS
Days 21 to 49
(pathology)",0.0832628082,
354,OTU_136,OTU,OTU136 Megamonas sp.,"YBS
Days 21 to 49
(pathology)",-0.7577760945,
355,OTU_14,OTU,OTU14 Lachnospiraceae sp.,"YBS
Days 21 to 49
(pathology)",2.5408126367,+
356,OTU_145,OTU,OTU145 Bifidobacterium avesanii,"YBS
Days 21 to 49
(pathology)",-0.5474875419,
357,OTU_15,OTU,OTU15 Megasphaera paucivorans,"YBS
Days 21 to 49
(pathology)",-1.7385543291,+
358,OTU_2,OTU,OTU2 Bifidobacterium aesculapii,"YBS
Days 21 to 49
(pathology)",2.6802602573,+
359,OTU_20,OTU,OTU20 Phascolarctobacterium succinatutens,"YBS
Days 21 to 49
(pathology)",0.8702044904,
360,OTU_24,OTU,OTU24 Megamonas sp.,"YBS
Days 21 to 49
(pathology)",-0.3709214795,
361,OTU_28,OTU,OTU28 Parabacteroides sp.,"YBS
Days 21 to 49
(pathology)",-0.4601600647,
362,OTU_3,OTU,OTU3 Parolsenella catena,"YBS
Days 21 to 49
(pathology)",-1.7791825397,
363,OTU_32,OTU,OTU32 Parolsenella sp.,"YBS
Days 21 to 49
(pathology)",-2.1251790369,
364,OTU_35,OTU,OTU35 Bifidobacterium moukalabense,"YBS
Days 21 to 49
(pathology)",3.9408339088,
365,OTU_37,OTU,OTU37 Muribaculaceae sp.,"YBS
Days 21 to 49
(pathology)",3.7397013553,
366,OTU_38,OTU,OTU38 Parolsenella sp.,"YBS
Days 21 to 49
(pathology)",1.4325970028,
367,OTU_4,OTU,OTU4 Bifidobacterium dentium,"YBS
Days 21 to 49
(pathology)",-1.4730697838,
368,OTU_40,OTU,OTU40 Bifidobacterium goeldii,"YBS
Days 21 to 49
(pathology)",5.5734390943,
369,OTU_42,OTU,OTU42 Enterobacter hormaechei,"YBS
Days 21 to 49
(pathology)",0.1073629352,
370,OTU_45,OTU,OTU45 Streptococcus sp.,"YBS
Days 21 to 49
(pathology)",0.0221488323,
371,OTU_47,OTU,OTU47 Succinatimonas hippei,"YBS
Days 21 to 49
(pathology)",0,
372,OTU_56,OTU,OTU56 Anaeroplasmataceae sp.,"YBS
Days 21 to 49
(pathology)",4.6184882739,
373,OTU_59,OTU,OTU59 Kineothrix sp.,"YBS
Days 21 to 49
(pathology)",0.049256103,
374,OTU_7,OTU,OTU7 Prevotella sp.,"YBS
Days 21 to 49
(pathology)",-1.1042626056,
375,OTU_72,OTU,OTU72 Parolsenella catena,"YBS
Days 21 to 49
(pathology)",3.4742922504,
376,OTU_73,OTU,OTU73 Bifidobacterium tissierii,"YBS
Days 21 to 49
(pathology)",2.4645884768,
